_id,id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,_created_at
682f5a80e22eb516c3b6be2d,anl44_gaap_best_net_gaap_median,gaap best net gaap median,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9087,5,7,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be2e,anl44_gaap_best_net_gaap_numest,gaap best net gaap numest,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.9087,6,7,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be2f,anl44_gaap_best_net_gaap_stddev,gaap best net gaap stddev,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.8559,5,5,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be30,anl44_grossmargin_coveredby,Grossmargin D0 coveredby,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.696,3,3,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be31,anl44_grossmargin_prevalue,Grossmargin d0 prevalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.5802,3,4,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be32,anl44_grossmargin_value,Grossmargin d0 value,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.6954,3,3,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be33,anl44_nav_best_crncy_iso,nav best crncy iso,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,1,6,8,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be34,anl44_nav_best_cur_fiscal_qtr_period,nav best cur fiscal qtr period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,7,19,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be35,anl44_nav_best_cur_fiscal_semi_year_period,nav best cur fiscal semi year period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,10,13,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be36,anl44_nav_best_cur_fiscal_year_period,nav best cur fiscal year period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,5,6,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be37,anl44_nav_best_eeps_cur_yr,nav best eeps cur yr,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9287,21,52,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be38,anl44_nav_best_eeps_nxt_yr,nav best eeps nxt yr,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9291,13,29,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be39,anl44_nav_best_fiscal_period_dt,nav best fiscal period dt,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7443,10,13,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be3a,anl44_nav_best_fperiod_override,nav best fperiod override,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.7443,4,6,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be3b,anl44_nav_coveredby,Nav d0 coveredby,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.6778,0,0,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be3c,anl44_nav_latest_ann_dt_qtrly,nav latest ann dt qtrly,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.5656,1,1,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be3d,anl44_nav_most_recent_period_end_dt,nav most recent period end dt,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.5902,3,4,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be3e,anl44_nav_prevalue,NAV d0 prevalue,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.6296,3,4,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be3f,anl44_nav_value,NAV D0 value,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,VECTOR,0.6777,0,0,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be40,anl44_netdebt_best_crncy_iso,netdebt best crncy iso,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,1,6,14,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be41,anl44_netdebt_best_cur_fiscal_qtr_period,netdebt best cur fiscal qtr period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,6,6,1.2,2025-05-23T01:10:24.205Z
682f5a80e22eb516c3b6be42,anl44_netdebt_best_cur_fiscal_semi_year_period,netdebt best cur fiscal semi year period,analyst44,Integrated Broker Estimates,analyst,Analyst,analyst-crowdsourced-estimates,Crowdsourced Estimates,USA,1,TOP3000,MATRIX,0.9881,15,30,1.2,2025-05-23T01:10:24.205Z
